Router's ID	Incoming Port ID		VCID		Outgoing Port ID		VCID
23			---			1000			18			1000
18			23			1000			---			1000
14			---			1200			7			1200
7			14			1200			6			1200
6			7			1200			5			1200
5			6			1200			---			1200
9			---			1400			12			1400
12			9			1400			14			1400
14			12			1400			---			1400
20			---			1600			18			1600
18			20			1600			15			1600
15			18			1600			---			1600
7			---			1800			8			1800
8			7			1800			12			1800
12			8			1800			17			1800
17			12			1800			22			1800
22			17			1800			---			1800
14			---			2000			13			2000
13			14			2000			19			2000
19			13			2000			---			2000
18			---			2200			17			2200
17			18			2200			12			2200
12			17			2200			9			2200
9			12			2200			---			2200
13			---			2400			7			2400
7			13			2400			---			2400
23			---			2600			18			2600
18			23			2600			14			2600
14			18			2600			7			2600
7			14			2600			---			2600
0			---			2800			1			2800
1			0			2800			2			2800
2			1			2800			3			2800
3			2			2800			4			2800
4			3			2800			---			2800
20			---			3000			18			3000
18			20			3000			22			3000
22			18			3000			---			3000
18			---			3200			20			3200
20			18			3200			---			3200
23			---			3400			17			3400
17			23			3400			12			3400
12			17			3400			8			3400
8			12			3400			0			3400
0			8			3400			---			3400
21			---			3600			18			3600
18			21			3600			15			3600
15			18			3600			---			3600
14			---			3800			13			3800
13			14			3800			19			3800
19			13			3800			20			3800
20			19			3800			---			3800
11			---			4000			12			4000
12			11			4000			14			4000
14			12			4000			---			4000
18			---			4200			15			4200
15			18			4200			10			4200
10			15			4200			---			4200
21			---			4400			18			4400
18			21			4400			---			4400
14			---			4600			17			4600
17			14			4600			16			4600
16			17			4600			---			4600
14			---			4800			13			4800
13			14			4800			19			4800
19			13			4800			---			4800
14			---			5000			7			5000
7			14			5000			6			5000
6			7			5000			---			5000
17			---			5200			15			5200
15			17			5200			---			5200
11			---			5400			17			5400
17			11			5400			18			5400
18			17			5400			21			5400
21			18			5400			---			5400
9			---			5600			0			5600
0			9			5600			---			5600
22			---			5800			17			5800
17			22			5800			12			5800
12			17			5800			---			5800
11			---			6000			17			6000
17			11			6000			---			6000
11			---			6200			10			6200
10			11			6200			15			6200
15			10			6200			---			6200
16			---			6400			17			6400
17			16			6400			14			6400
14			17			6400			---			6400
21			---			6600			18			6600
18			21			6600			17			6600
17			18			6600			---			6600
5			---			6800			6			6800
6			5			6800			7			6800
7			6			6800			13			6800
13			7			6800			---			6800
4			---			7000			5			7000
5			4			7000			6			7000
6			5			7000			7			7000
7			6			7000			---			7000
3			---			7200			2			7200
2			3			7200			---			7200
15			---			7400			18			7400
18			15			7400			21			7400
21			18			7400			---			7400
1			---			7600			0			7600
0			1			7600			8			7600
8			0			7600			14			7600
14			8			7600			---			7600
0			---			7800			9			7800
9			0			7800			10			7800
10			9			7800			---			7800
7			---			8000			14			8000
14			7			8000			---			8000
12			---			8200			17			8200
17			12			8200			22			8200
22			17			8200			---			8200
12			---			8400			17			8400
17			12			8400			15			8400
15			17			8400			---			8400
7			---			8600			13			8600
13			7			8600			19			8600
19			13			8600			20			8600
20			19			8600			---			8600
9			---			8800			10			8800
10			9			8800			15			8800
15			10			8800			---			8800
5			---			9000			6			9000
6			5			9000			7			9000
7			6			9000			---			9000
13			---			9200			12			9200
12			13			9200			17			9200
17			12			9200			15			9200
15			17			9200			---			9200
0			---			9400			8			9400
8			0			9400			7			9400
7			8			9400			---			9400
14			---			9600			8			9600
8			14			9600			0			9600
0			8			9600			---			9600
